"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","1","0","Realizar login com email inexistente","0"
"0","","0","Carrinhos","1","0","Concluir compra","0"
"0","","0","Carrinhos","1","0","Buscar carrinho inexistente","0"
"0","","0","Usuários","1","0","Cadastrar usuário com email já existente","0"
"0","","0","Usuários","1","0","Atualizar usuário","0"
"0","","0","Usuários","1","0","Buscar usuário por ID","0"
"0","","0","Usuários","1","0","Listar usuários","0"
"0","","0","Produtos","1","0","Cadastrar produto","0"
"0","","0","Produtos","1","0","Buscar produto por ID","0"
"0","","0","Produtos","1","0","Excluir produto","0"
"0","","0","Carrinhos","1","0","Buscar carrinho por ID","0"
"0","","0","Carrinhos","1","0","Cadastrar carrinho","0"
"0","","0","Login","1","0","Realizar login com sucesso","0"
"0","","0","Carrinhos","1","0","Listar carrinhos","0"
"0","","0","Produtos","1","0","Buscar produto com ID inexistente","0"
"0","","0","Carrinhos","1","0","Cancelar compra","0"
"0","","0","Login","1","0","Realizar login com senha inválida","0"
"0","","0","Usuários","1","0","Cadastrar usuário com sucesso","0"
"0","","0","Produtos","1","0","Atualizar produto","0"
"0","","0","Usuários","1","0","Excluir usuário","0"
"0","","0","Produtos","1","0","Listar produtos","0"
