"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como usuário da ServeRest
  Quero autenticar na API
  Para acessar recursos protegidos","65","Realizar login com email inexistente","","2026-09-22","passed","2026-09-22","","Login","Realizar login com email inexistente",""
"  Como usuário da ServeRest
  Quero gerenciar carrinhos
  Para realizar compras","456","Concluir compra","","2026-09-22","passed","2026-09-22","","Carrinhos","Concluir compra",""
"  Como usuário da ServeRest
  Quero gerenciar carrinhos
  Para realizar compras","92","Buscar carrinho inexistente","","2026-09-22","passed","2026-09-22","","Carrinhos","Buscar carrinho inexistente",""
"  Como usuário da ServeRest
  Quero gerenciar usuários
  Para manter os cadastros atualizados","142","Cadastrar usuário com email já existente","","2026-09-22","passed","2026-09-22","","Usuários","Cadastrar usuário com email já existente",""
"  Como usuário da ServeRest
  Quero gerenciar usuários
  Para manter os cadastros atualizados","169","Atualizar usuário","","2026-09-22","passed","2026-09-22","","Usuários","Atualizar usuário",""
"  Como usuário da ServeRest
  Quero gerenciar usuários
  Para manter os cadastros atualizados","146","Buscar usuário por ID","","2026-09-22","passed","2026-09-22","","Usuários","Buscar usuário por ID",""
"  Como usuário da ServeRest
  Quero gerenciar usuários
  Para manter os cadastros atualizados","76","Listar usuários","","2026-09-22","passed","2026-09-22","","Usuários","Listar usuários",""
"  Como administrador da ServeRest
  Quero gerenciar produtos
  Para manter o catálogo atualizado","206","Cadastrar produto","","2026-09-22","passed","2026-09-22","","Produtos","Cadastrar produto",""
"  Como administrador da ServeRest
  Quero gerenciar produtos
  Para manter o catálogo atualizado","163","Buscar produto por ID","","2026-09-22","passed","2026-09-22","","Produtos","Buscar produto por ID",""
"  Como administrador da ServeRest
  Quero gerenciar produtos
  Para manter o catálogo atualizado","224","Excluir produto","","2026-09-22","passed","2026-09-22","","Produtos","Excluir produto",""
"  Como usuário da ServeRest
  Quero gerenciar carrinhos
  Para realizar compras","1150","Buscar carrinho por ID","","2026-09-22","passed","2026-09-22","","Carrinhos","Buscar carrinho por ID",""
"  Como usuário da ServeRest
  Quero gerenciar carrinhos
  Para realizar compras","398","Cadastrar carrinho","","2026-09-22","passed","2026-09-22","","Carrinhos","Cadastrar carrinho",""
"  Como usuário da ServeRest
  Quero autenticar na API
  Para acessar recursos protegidos","81","Realizar login com sucesso","","2026-09-22","passed","2026-09-22","","Login","Realizar login com sucesso",""
"  Como usuário da ServeRest
  Quero gerenciar carrinhos
  Para realizar compras","13328","Listar carrinhos","","2026-09-22","passed","2026-09-22","","Carrinhos","Listar carrinhos",""
"  Como administrador da ServeRest
  Quero gerenciar produtos
  Para manter o catálogo atualizado","131","Buscar produto com ID inexistente","","2026-09-22","passed","2026-09-22","","Produtos","Buscar produto com ID inexistente",""
"  Como usuário da ServeRest
  Quero gerenciar carrinhos
  Para realizar compras","439","Cancelar compra","","2026-09-22","passed","2026-09-22","","Carrinhos","Cancelar compra",""
"  Como usuário da ServeRest
  Quero autenticar na API
  Para acessar recursos protegidos","79","Realizar login com senha inválida","","2026-09-22","passed","2026-09-22","","Login","Realizar login com senha inválida",""
"  Como usuário da ServeRest
  Quero gerenciar usuários
  Para manter os cadastros atualizados","76","Cadastrar usuário com sucesso","","2026-09-22","passed","2026-09-22","","Usuários","Cadastrar usuário com sucesso",""
"  Como administrador da ServeRest
  Quero gerenciar produtos
  Para manter o catálogo atualizado","218","Atualizar produto","","2026-09-22","passed","2026-09-22","","Produtos","Atualizar produto",""
"  Como usuário da ServeRest
  Quero gerenciar usuários
  Para manter os cadastros atualizados","138","Excluir usuário","","2026-09-22","passed","2026-09-22","","Usuários","Excluir usuário",""
"  Como administrador da ServeRest
  Quero gerenciar produtos
  Para manter o catálogo atualizado","90","Listar produtos","","2026-09-22","passed","2026-09-22","","Produtos","Listar produtos",""
